英文名稱,中文名稱
Impressionnisme {Fr.},印象主義；印象樂派
impromptu {Fr.},即興曲
improvisation,即興演奏（唱）
in seculum {Lat.},二聲部曲
in tempo {It.},按原速；嚴守節拍
inactive scale step,靜音級
Inca music,印加音樂
incalzando {It.},加緊加快的
incidental music,配樂
incidental variation,偶然變奏
incipit {Lat.},起始句
incomplete bar,不完全小節
incomplete chord,不完全和弦（絃）
incomplete counter exposition,不完全次呈示部
incomplete entry,不完全進入
incomplete exposition,不完全呈示部
incomplete major ninth,不完全大九和弦（絃）
incomplete measure,不完全小節
incomplete motive,不完全動機
incudine {It.},鐵砧
indeciso {It.},未定的；遲疑的
indefinite form,不定形式
independent chord,獨立和弦（絃）
indication de tempo {Fr.},速度記號
indication m?tronomique {Fr.},節拍器記號
indicazione di misura {It.},拍子記號
indicazione di tempo {It.},速度記號
indicazione metronomica {It.},節拍器記號
indirect extraneous modulation,間接遠系轉調
indirectum {Lat.},直詠的
Individualstil {Ger.},個人風格
infinite canon,無終卡農
ingressa {Lat.},進堂詠
inharmonic note,和聲外音；非和弦（絃）音
initium {Lat.},啟始句｛素歌｝；聲調，發音調節
inner ear,內耳
inner part,內聲部
inner voice,內聲部
Inners Ohr {Ger.},內耳
innig {Ger.},由衷的
Inno ambrosiano {It.},安布羅斯聖歌
inno nazionale {It.},國歌
inno {It.},讚美歌
innocemment {Fr.},天真的
innocente {It.},天真的；純潔的
inquiet {Fr.},不安的；不穩的
inquieto {It.},不安的
inst?ndig {Ger.},迫切的
instante {It.},急切的；緊迫的
instruction musicale {Fr.},音樂教育
instrument,樂器
instrument ? anche {Fr.},簧樂器
instrum?nt ? cordes frapp?es {Fr.},擊弦樂器
instrument ? cordes {Fr.},弦樂器
Instrument ? percussion {Fr.},擊樂器
instrument ? vent en bois {Fr.},木管樂器
instrument ? vent {Fr.},管樂器
instrument de musique ?lectronique {Fr.},電子樂器
instrument {Fr.},樂器
instrumental music,器樂
Instrumentalmusik {Ger.},器樂
instrumentation,樂器學；配器法
instrumentation {Fr.},樂器學；配器法
Instrumente {Ger.},樂器
Instrumentenkunde {Ger.},樂器學；配器法
Instrumentierung {Ger.},配器法
instrumento {It.},樂器
instruments ? clavier{Fr.},鍵盤樂器
instruments de cuivre {Fr.},銅管樂器
instruments {Fr.},樂器
intavolatura {It.},改編曲
integer valor {Lat.},正常音值
intellectual property,智慧財產權
Intendant {Ger.},歌劇院經理人
intendente {Sp.},歌劇院經理人
intensit? sonore {Fr.},音強
intensity,強度
intensity of sound,音之強度
interal ear,內耳
intercepted fifth,遮斷五度
intercepted octave,遮斷八度
interchange of modes,調式交替
interconnection of chords,和弦（絃）連結法
interepido {It.},英勇的
interference,干擾
interf?rence {Fr.},干擾
Interferenz {Ger.},干擾
interferenza {It.},干擾
interlude,間奏；插句
Interludium {Lat.},間奏；插句
interludium {Lat.},間奏；插句
interm?de {Fr.},間奏曲
intermedia,集藝手法
intermedio {It.},間奏曲
intermedium {Lat.},間奏曲
intermezzo {It.},間奏曲；幕間劇
intermittence tone,間歇音
Intermittenztion {Ger.},間歇音
Intermodalit?t {Ger.},交感性
intermodalit? {Fr.},交感性
intermodality,交感性
International Association of Music Libraries (IAML),國際音樂資料檔案協會
international pitch,國際音高
International Society for Contemporary Music [ISCM],國際現代音樂協會
International Society of Music Education (ISME),國際音樂教育學會
Internationale Gesellschaft F?r Neue Musik (IGNM) {Ger.},國際現代音樂協會
interpolation of bar,插入小節
interpolation of beat,插入拍
interpretation,詮釋
interpretation {Ger.},詮釋
interpretazione {It.},詮釋
interpreter,詮釋者
interrupted cadence,假終止
interrupted imitation,間歇模仿
intertone,中間音
interval,音程
Intervall {Ger.},音程
intervalle augment? {Fr.},增音程
intervalle chromatique {Fr.},變化音程
intervalle compl?mantaire {Fr.},轉位音程
intervalle compos?,複音程
intervalle consonant imparfaite {Fr.},不完全協和音程
intervalle consonant {Fr.},協和音程
intervalle diatonique {Fr.},自然音程
Intervalle diminu? {Fr.},減音程
intervalle dissonant {Fr.},不協和音程
intervalle harmonique {Fr.},和聲音程
intervalle juste {Fr.},完全音程
intervalle majeur {Fr.},大音程
intervalle mineure {Fr.},小音程
intervalle mort {Fr.},死音程
intervalle {Fr.},音程
intervallo armonico {It.},和聲音程
intervallo aumentato {It.},增音程
intervallo complementare {It.},轉位音程
Intervallo composto {Ger.},複音程
intervallo consonante imperfetta {It.},不完全協和音程
intervallo consonante {It.},協和音程
intervallo cromatico {It.},變化音程
intervallo diatonico {It.},自然音程
Intervallo diminuito,減音程
intervallo dissonante {It.},不協和音程
intervallo giusto {It.},完全音程
intervallo maggiore {It.},大音程
intervallo minore {It.},小音程
intervallo morto {It.},死音程
intervallo {It.},音程
intonatio {Lat.},啟始句｛素歌｝；聲調，發音調節
intonation,啟始句｛素歌｝；聲調，發音調節
Intonation formula,啟始句｛素歌｝；聲調，發音調節
intonation juste {Fr.},純律
intonazione {It.},提示曲；音準
intrada,開場樂
intrada {It.},開場樂
intrepido {It.},大膽的
introduction,導奏
introduction,導奏
introduction {Fr.},導奏
introduzione {It.},導奏
introit,進堂詠
intro?t {Fr.},進堂詠
Introitus {Ger.},進堂詠
introitus {Lat.},進堂詠
Inventio {Lat.},創意曲
Invention,創意曲
Invention {Fr.},創意曲
Invention {Ger.},創意曲
Inventionshorn {Ger.},創意號
Inventiontrompete {Ger.},創意小號
Invenzione {It.},創意曲
inversion,轉位；反向
inversion of chord,和弦（絃）轉位
inversion of interval,音程轉位
inverted cadence,轉位終止
inverted canon,反向卡農
inverted chord,轉位和弦
inverted dotting,逆附點
inverted fugue,轉位復格
inverted interval,轉位音程
inverted mordent,逆漣音
inverted organ point,轉位持續音
inverted pedal note,轉位持續音
inverted subject,反向主題
inverted turn,逆迴音
invertible canon,轉位卡農
invertible counterpoint,轉位對位
Inzidenzmusik {Ger.},配樂
ioculator {Lat.},樂師
ionian mode,艾奧尼安調式
ionian scale,艾奧尼安音階
Ionisch {Ger.},艾奧尼安調式
ippaki-ni {Fr.},鹿笛
Ipuhula,伊普葫
iratamente {It.},憤怒的
Irish harp,愛爾蘭豎琴
irregular accent,不規則強音
irregular answer,不規則答句
irregular meter,變化拍子
irregular resolution,不規則解決
irregular rhythm,不規則節奏
irregular rondo,不規則輪旋曲
irregular sequence,不規則模進
irregular time,變化拍子
isolated entry,孤立進入
isomelic,同旋律
isomelico {It.},同旋律
isom?lique {Fr.},同旋律
Isomelisch {Ger.},同旋律
Isomelodisch {Ger.},同旋律
isometric,等節拍
Isometrisch {Ger.},等節拍
isorhythm,同節奏
Isorhythmisch {Ger.},同節奏
isosyllabic,同音節
Isosyllabisch {Ger.},同音節
istanpitta {It.},中世紀舞樂
istruzione musicale {It.},音樂教育
Italian overture,義大利式序曲
Italian sixth,義大利增六和弦
Italienische Ouvert?re {Ger.},義大利式序曲
Italienische Sexte {Ger.},義大利增六和弦
Ivrea Codex {Lat.},伊夫里亞手抄本
jabo {Sp.},哈布舞曲
j?cara{Port.},哈卡拉舞曲
j?cara{Sp.},哈卡拉舞曲
jack,動力桿｛鋼琴｝；插孔｛電子樂器｝；插頭；插座
Jagdhorn {Ger.},獵號
Jagdoboe {Ger.},狩獵雙簧管
J?gerlied {Ger.},獵歌
jaleo {Sp.},哈萊歐舞曲
Jaltarang,排碗｛印度｝
jam session,餘興樂
janissary music,土耳其軍樂｛奧圖曼時期｝
janissasry stop,土耳其軍樂音栓
Janitscharenmusik {Ger.},土耳其兵軍樂
Janitscharenzug {Ger.},土耳其軍樂音栓
janizary music,土耳其軍樂｛奧圖曼時期｝
Janko keyboard,楊柯鍵盤
Janko Klaviatur {Ger.},楊柯鍵盤
jarabe {Sp.},哈拉貝舞曲｛墨｝
jarana {Sp.},哈拉納舞曲｛墨｝；哈拉納琴｛墨｝
Jaw's harp,口簧琴
jazz,爵士音樂
jazz guitar,爵士吉他
jedina,傑第納口笛
jet? {Fr.},拋弓
jeu d'anche{Fr.},簧管音栓
jeu d'orgue {Fr.},風琴音栓
jeu de timbres {Fr.},鍵盤高音鐵琴
jeu liturgique {Fr.},儀式劇
jeu parti {Fr.},對論詩歌
jeu {Fr.},音栓
Jeudi saint {Fr.},聖週四
jeune France {Fr.},青年法國
"Jeune France, la {Fr.}",青年法國
jeux ? bouche {Fr.},直笛音栓
jeux de mutation {Fr.},變音音栓｛管風琴｝
jew's harp,口簧琴
Jig,吉格舞曲
Jingle,鈴
Jingles,串鈴
jingling Johnny,塔架鈴｛土耳其｝
Jodel {Ger.},真假聲互換唱法；悠得爾唱法
jogleor {Fr.},樂師
jongleur {Fr.},樂師
joropo {Sp.},霍洛波舞曲
jota {Sp.},霍達舞曲
jubelnd {Ger.},興高采烈
jubilus {Lat.},高興的
jug band {Amer.},酒壺樂隊
jukebox,點唱機
Jungle style,叢林風格
just intonation,純律
just relation,純正關係
justamente {Sp.},精確的
Kacapi {Id.},卡查比琴
Kadenz {Ger.},裝飾樂段
K?la'au,卡拉奧
kalamos {Gr.},卡拉姆斯管
kalevala {Fin.},卡列瓦拉
Kalinda,卡連達舞曲
Kam?nche {Ir.},卡曼傑琴
Kamarinskaya {Rus.},卡馬林斯卡亞舞曲
Kammerkantate {Ger.},世俗清唱劇；世俗康塔塔
Kammerkomponist {Ger.},宮廷作曲家；榮譽音樂家
Kammerkonzert {Ger.},室內協奏曲；室內音樂會
Kammermusik {Ger.},室內樂
Kammeroper {Ger.},室內歌劇
Kammerorchester {Ger.},室內管弦（絃）樂團；室內合奏團
Kammers?nger {Ger.},宮廷歌手；榮譽歌手
Kammerstil {Ger.},室內樂風格
Kammersymphonie {Ger.},室內交響曲
Kammerton {Ger.},室內音高
Kanon im Einklang {Ger.},同度卡農
Kanon in gerader Bewegung {Ger.},平行卡農
Kanon in r?ckg?ngiger Bewegung {Ger.},逆行卡農
Kanon {Ger.},卡農
Kantate {Ger.},清唱劇；康塔塔
Kantele {Fin.},康特雷琴
Kantor {Ger.},領唱者
Kantorei {Ger.},歌者
Kanzonette {Ger.},短歌；小曲
Kapelle {Ger.},小教堂；聖歌隊；宮廷音樂組合
Kapellmeister {Ger.},樂長
Kapellmeistermusik {Ger.},樂長音樂
Karwoche {Ger.},聖週
Kash,鼻笛
Kassation {Ger.},輕組曲
Kastagnetten {Ger.},響板
Kastrat {Ger.},閹歌手
Kathak {In.},卡塔克舞
Kathakali {In.},卡塔卡利舞
Kaval {Tur.},卡瓦爾笛
Kavatine {Ger.},抒情短歌；短曲
Kayagumu,伽耶琴（韓國）
kazachok,卡沙喬克舞曲
kazoo,卡祖｛英美民間膜笛｝
K?’eke’ek {Amer.},搗奏竹筒｛夏威夷｝
Kecak Ketjak,克查舞（印尼）
keck {Ger.},冒失的
Kehlkopt {Ger.},喉頭
Kehlton {Ger.},喉音
Kehrreim {Ger.},重現句；疊句；副歌；重現段
keman {Tur.},小提琴
kemanak,克馬納克鼓（印尼）
kemen?e,克曼且琴（土耳其）
kena,克納笛
kenong,克隆鑼（印尼）
Kent horn,肯特號
Kernton {Ger.},核心音
kettledrums,鍋形鼓；定音鼓
key,調；鍵
key bugle,有鍵步號
key characteristics,調性特色
key relationship,調關係
key signature,調號
key trumpet,有鍵小號
key with flats,降號調
key with sharps,升記號調
keyboard,鍵盤；鍵盤樂器
keyboard harmony,鍵盤和聲學
keyboard instrument,鍵盤樂器
keyboard music,鍵盤音樂
keyed bugle,有鍵步號
keynote,主音
Kh??n Khen,竹笙
Khanjira {In.},康吉拉鼓
khil khuur,馬頭琴
Khlui,竹笛
khong wong,排鑼｛泰國｝
Khy?l {In.},卡亞爾曲
Kiak Kiyak,吉亞克琴
Kielfl?gel {Ger.},大鍵琴
Kindersopran {Ger.},童聲女高音
Kinnhalter {Ger.},顎墊
kinnor {Heb.},琪諾琴
Kirchenchor {Ger.},聖歌隊
Kirchenkantate {Ger.},教會清唱劇；教會康塔塔
Kirchenkonzert {Ger.},教會協奏曲
Kirchenlied {Ger.},聖詠(曲)
Kirchenschluss {Ger.},教會終止
Kirchenton {Ger.},教會調式
Kirchentonart {Ger.},教會調式
kit,袖珍小提琴；套鼓
kithara {Gr.},琪塔拉琴；吉他
klagend {Ger.},控訴的；悲嘆的
Klagenlied {Ger.},輓歌
kl?glich {Ger.},控訴的；悲嘆的；可憐的
Klammer {Ger.},連譜號
Klang {Ger.},聲響
Klangfarbe {Ger.},音色
Klangfarbenmelodie {Ger.},音色曲調
Klangschl?ssel {Ger.},和弦記號
Klappenfl?gelhorn {Ger.},有鍵步號
Klappenhorn {Ger.},有鍵步號
Klapper {Ger.},響板；拍板
Klarinette {Ger.},單簧管
Klassizismus {Ger.},古典主義
Klausel {Ger.},終止式
Klavarscribo,鍵盤記譜法
Klavecimbel {Ger.},大鍵琴
Klaviatur {Ger.},鍵盤
Klavichord {Ger.},古鋼琴
Klavier {Ger.},鍵盤樂器；鋼琴
Klavierquartett {Ger.},鋼琴四重奏；鋼琴四重奏曲
Klavierquintett {Ger.},鋼琴五重奏；鋼琴五重奏曲
Klavierspiel {Ger.},鋼琴奏法
Klaviertrio {Ger.},鋼琴三重奏；鋼琴三重奏曲
Klaviziterium {Ger.},直立式大鍵琴
Klavizylinder {Ger.},鍵盤玻璃琴
kledi,克雷第笙（婆羅洲）
kleine Fl?te {Ger.},短笛
kleine Klarinette {Ger.},小單簧管
kleine Oktave {Ger.},小字八度音
kleine Sekunde {Ger.},小二度
kleine Septime {Ger.},小七度
kleine Sexte {Ger.},小六度
kleine Terz {Ger.},小三度
kleine Trommel {Ger.},小鼓
kleine Trompete {Ger.},小小號（巴赫小號）
kleiner Ganzton {Ger.},小全音
kleiner Nonenakkord {Ger.},小九和弦
kleiner Satz {Ger.},小樂節
kleiner Septimenakkord {Ger.},小七和弦
kleines Intervall {Ger.},小音程
klong that,克隆塔特鼓（泰國）
ko'e,柯約笛
koauau,科奧奧笛
K?chel Verzeichnis {Ger.},柯歇爾編號
Koda {Ger.},尾聲；尾奏
Kodex {Ger.},抄本
Koenig resonator,柯尼希共鳴器
koleda {Pol.},柯連達歌曲
kolenda {Pol.},柯連達歌曲
kolo,寇羅舞曲
kolomyika,柯羅蜜卡舞曲
Koloratur {Ger.},華彩；花腔
Kolorierung {Ger.},色符記譜法；色彩裝飾
Kombinationston {Ger.},混合音；合成音
Komma {Ger.},音差
Komplement?rinterval {Ger.},轉位音程
Komponium {Ger.},複合自動管風琴
Kompositionslehre {Ger.},作曲法
Komun'go,玄琴（韓國）
kondakarion {Rus.},康達卡利翁頌歌本
Konservatorium {Ger.},音樂學院
Konsonant {Ger.},子音
Konsonanter Akkord {Ger.},協和和弦
konsonanters Intervall {Ger.},協和音程
Konsonanz {Ger.},協和；協和音
Konstruktiver Kontrapunkt {Ger.},和聲式對位
Kontakion {Gr.},讚歌（拜占廷）
Kontertanz {Ger.},鄉村舞曲；對舞舞曲
Kontra Oktave {Ger.},下一點八度(音域)
Kontrabass Klarinette {Ger.},倍低音單簧管
Kontrabass {Ger.},低音提琴
Kontrabassposaune {Ger.},低音長號
Kontrafagott {Ger.},倍低音管
Kontrapunkt {Ger.},對位法
Kontrasubjekt {Ger.},對句；對位主題
Konzert Ouvert?re {Ger.},音樂會序曲
Konzert {Ger.},協奏曲
Konzert {Ger.},音樂會
Konzertina {Ger.},六角手風琴
Konzertmeister {Ger.},首席
Konzertsaal {Ger.},演奏廳；音樂廳
Konzertst?ck {Ger.},音樂會曲；小協奏曲
kooauau,科奧奧笛
Kopf {Ger.},符頭
Kopfstimme {Ger.},頭聲
Kopfst?ck {Ger.},揚音管
Kopist {Ger.},抄譜家
Koppel{Ger.},聯結器
Kornett {Ger.},短號；郵號；角號；角號音栓｛管風琴｝
Korpus {Ger.},共鳴箱
Korrepetitor {Ger.},排練指導
Kortholt {Ger.},科爾托管
Koteletten Walzer {Ger.},筷子曲
koza {Pol.},山羊風笛
Kraft {Ger.},力度
Kr?ftig {Ger.},有力的
kr?ftig {Ger.},有力的
Kraftwerk {Ger.},發電廠音樂風格｛流行音樂｝
Krajapp?,克拉甲比琴（泰）
Krakauer Tanz {Ger.},克拉科維亞克舞曲
krakowiak {Pol.},克拉科維亞克舞曲
Krebsgang {Ger.},逆行
Krebskanon {Ger.},逆行卡農
Kreuz {Ger.},升記號
krila?t,大框鼓
Krummbogen {Ger.},變音管
Krummhorn {Ger.},克隆姆管；克隆姆管音栓
Kuhreigen {Ger.},牧牛歌｛瑞士｝
kujawiak {Pol.},庫亞維亞克舞曲
Kulintang {Ph.},庫林當鑼
Kunstlied {Ger.},藝術歌曲
Kunstschaffen {Ger.},藝術創作
Kunstwissenschaft {Ger.},藝術學
Kurrende {Ger.},青少年合唱團
kurze Oktave {Ger.},短縮八度
Kustos {Ger.},提示記號
ky?-wa?ng,排鑼｛泰國｝
kyrie {Gr.},垂憐曲
l'istesso tempo {It.},同速度
L.h.,左手
La di?se {Fr.},升Ａ
La diesis {It.},升Ａ
Labialpfeife {Ger.},直笛音管
Labialstimme {Ger.},直笛音栓
Laborde Chansonnier {Fr.},拉波德歌本
lacrimoso {It.},含淚的；哭號的
lacune tonale {Fr.},音隙
Laendler {Ger.},連德勒舞曲
Lage der Stimmen {Ger.},聲音位置；聲部位置；把位位置
Lage eines Akkordes {Ger.},和弦位置
Lage {Ger.},位置；把位
lai {Fr.},遊唱歌體
lament,哀歌；輓歌
lamentabile {It.},悲哀的
lamentation,哀歌
lamentation {Fr.},哀歌
Lamentation {Ger.},哀歌
lamentations,耶利米哀歌
lamentazione {It.},哀歌
lamento {It.},哀歌；輓歌
lamentoso {It.},悲傷的
lancers,藍薩斯舞曲
Landini cadence,藍迪尼終止
Landini Klausel{Ger.},藍迪尼終止
L?ndler {Ger.},連德勒舞曲
Langaus {Ger.},藍高斯舞曲
langer Vorschlag {Ger.},長倚音
lap organ,膝上型風琴
larga {Lat.},最長音符｛有量計譜法｝
largamente {It.},寬大的
largando {It.},漸慢漸強
larghetto {It.},甚廣板；甚?廣的
larghissimo {It.},極廣板；極?廣的
largo {It.},廣板；?廣的
L?rm {Ger.},噪音
larynx,喉頭
Las Huelgas Codex,拉斯‧威爾加斯抄本
la?d {Sp.},魯特琴
lauda {It.},讚美歌
laudes {Lat.},早課；早禱
laudisti {It.},讚歌樂人
Lauf {Ger.},過渡樂句
launeddas {It.},勞內達斯管
Laut {Ger.},大聲的
Laute {Ger.},魯特琴
Lautenzug {Ger.},魯特音栓｛大鍵琴｝
lautheit {Ger.},響度
law of part-writing,聲部寫作規則
lay {Fr.},遊唱歌體
lazzo {It.},即興諧歌
lead sheet,簡要總譜｛流行樂｝
leading melody,主曲調
leading motive,主導動機
Leading motive,主導動機
leading note,導音
leading seventh,導七和弦（絃）
leading tone,導音
leap,跳進
lebendig {Ger.},生動的；活潑的
lectio {Lat.},讀經
Lectionary,聖經選讀集
ledger line,加線
leere Quinte {Ger.},空心五度
leere Saite {Ger.},空弦（絃）
left pedal,左踏瓣
legatissimo {It.},非常圓滑
legato tremolo {It.},連弓震音｛義｝
legato {It.},圓滑線；圓滑奏（唱）
Legatobogen {Ger.},圓滑線
legatura {It.},圓滑線；連結線
Legend,傳奇曲
l?gende {Fr.},傳奇曲
Legende{Ger.},傳奇曲
leger line,加線
leggenda {It.},傳奇曲
leggiero {It.},輕；輕巧的
legni {It.},木管樂器
legno {It.},弓背
legong,雷貢舞｛印尼｝
Leich {Ger.},遊唱歌體
leicht {Ger.},輕巧的
leidenschaftlich {Ger.},激情的；熱情的
Leier {Ger.},搖弦琴
leise {Ger.},小聲的；低聲細語的
leitereigener Akkord {Ger.},音階固有和弦
Leitereigenerton {Ger.},音階音
Leitmotif{Ger.},主導動機
Leitmotiv {Ger.},主導動機
Leitmotiv{Ger.},主導動機
Leitton {Ger.},導音
lene {It.},輕柔的
lentando {It.},漸慢
lentissimo {It.},極緩板
lento {It.},緩板
Les Six {Fr.},六人組
lesser doxology,小光榮頌
lesser perfect system,小完全音階系統
lesto {It.},敏捷的；迅速的
Lesture ? vue {Fr.},視奏；視唱
letter names,音名
letter notation,字譜
lev? {Fr.},弱起拍
leyenda {Sp.},傳奇曲
lezginka,雷金卡舞曲
lezione dell'armonia {It.},和聲學
liaison {Fr.},連線
Liber de arte contrapuncti {Lat.},對位法之書
liber hymnorum {Lat.},讚歌之書
Liber usualis {Lat.},常用聖歌集
libretto {It.},腳本；劇本
libro di coro {It.},合唱本
Liebesoboe {Ger.},柔音管
Lied ohne Worte {Ger.},無言歌
Lied {Ger.},歌曲；藝術歌曲
Lieder ohne Worte,無言歌
Liederbuch {Ger.},歌曲集
Liedercyclus {Ger.},聯篇歌曲
Liederkreis {Ger.},聯篇歌曲
Liedertafel {Ger.},男聲合唱團
Liederzyklus {Ger.},聯篇歌曲
liedform,歌曲形式
Lieto {It.},歡樂的；愉快的
lieve {It.},輕的
lievmente {It.},輕柔的
ligado {Sp.},弧線；圓滑線；結合線
ligatura {It.},連結符號
Ligatura {Lat.},連結符號
ligature,連結符號
ligature {Fr.},連結符號
light music,輕音樂
light opera,輕歌劇
Ligne ajout?e {Fr.},加線
ligne {Fr.},線
limites d'audibilit? {Fr.},聽覺極限
limma {Gr.},小半音
lindy,林第舞曲
line,譜線
linear counterpoint,線式對位法
linearer Kontrapunkt {Ger.},線式對位法
liner notes,影聲出版品解說
linguaphone,撥簧樂器
Linien {Ger.},譜線
Liniensystem {Ger.},線譜
lining out,導唱；導誦
link,連接
Linke Hand {Ger.},左手
Linke Hand {Ger.} {= L.H.}; main gaunche {Fr.} {= m.g.},左手
liquescent neume,傾斜式紐姆譜
lira,利拉琴
lira {It.},里拉琴
lirico {It.},抒情的
litania {It.},連禱文；連禱歌
litania {Lat.},連禱文；連禱歌
litanie {Fr.},連禱文；連禱歌
litany,連禱文；連禱歌
lithophone,石鳴樂器
little drum,小鼓
liturgical books,禮儀經本
liturgical drama,儀式劇
liturgical play,儀式劇
Liturgiche B?cher {Ger.},禮儀經本
Liturgiches Drama {Ger.},儀式劇
liturgy,禮拜儀式
lituus,利圖斯號｛古羅馬｝
lituus {Lat.},古羅馬號
liuto {It.},魯特琴；魯特音栓｛大鍵琴｝
live electronic music,現場電子音樂
livre de choeur {Fr.},合唱本
livret {Fr.},腳本；劇本
lo stesso movimento {It.},同速度
lo stesso tempo {It.},同速度
Lobgesang {Ger.},讚歌
localisation auditive {Fr.},音源定位
Loch {Ger.},f形孔
Lochamer Liederbuch {Ger.},羅哈梅歌曲集
loco {It.},回原位
locrian scale,洛克里安音階
loi de Weber-Fechner {Fr.},韋伯－費希納定律
Lokrisch {Ger.},洛克里安調式
lombardic rhythm,隆巴第節奏
Lombardischer Rhythmus,隆巴第節奏
long,長音｛古希臘｝；長音符｛古譜｝
long appoggiatura,長倚音
long playing (LP),密紋唱片；慢轉唱片｛每分鐘三十三又三分之一轉唱片｝
long rest,長休止符｛古譜｝
longa {Lat.},長音｛古希臘｝；長音符｛古譜｝
longitudinal vibration,縱振動
longitudinale Schwingung {Ger.},縱振動
lontano {It.},遙遠的
lop,波腹
louder pedal,持音踏瓣
loudness,響度
loudspeaker,揚聲器
loure {Fr.},風笛；盧爾舞曲
lour? {Fr.},連斷奏
low down,低沉風格
low frequency,低頻率
low Mass,小彌撒
lower anxiliary note,下助音
lower tetrachord,下四音組
Lowland pipe,低地風笛
lowmass,小彌撒
Lozhki {Rus.},匙鈴
LP,慢速錄放
lucernarium {Lat.},晚禱經頌讚
luftig {Ger.},輕盈的
Luftr?hre {Ger.},氣管
lullaby,搖籃曲
lumineux {Fr.},燦爛的；明亮的
lundu {Port.},朗都舞曲｛巴西｝
lunga pausa {It.},長休止符｛古譜｝
lunga {It.},充分延長
lur {Dk.},路爾號
lusingando {It.},甜美的；嬌媚的
Lustig {Ger.},歡樂的；愉快的
lute,魯特琴
lute guitar,魯特吉他
lute harpsichord,魯特大鍵琴
lute music,魯特琴音樂
lute stop,魯特音栓｛大鍵琴｝
lute tablature,魯特琴指法譜
luth {Fr.},魯特琴
lutherie {Fr.},魯特琴製作
luthier {Fr.},魯特琴製琴師；製琴師
luttuoso {It.},哀悼的
lydian mode,利地安調式
lydian scale,利地安音階
Lydisch {Ger.},利地安調式
lyra piano,里拉鋼琴
lyra viol,里拉提琴
lyra viol,里拉提琴
lyra {Fr.},里拉琴
lyra {Gr.},里拉琴
lyra {Lat.},里拉琴
Lyrafl?gel {Ger.},里拉鋼琴
Lyragitarre {Ger.},里拉吉他
lyre,里拉琴
lyre guitar,里拉吉他
lyre piano,里拉鋼琴
lyric,抒情的
lyrics,抒情詩；歌詞
m.d. {It.},右手
m.g. {Fr.},左手
m.s. {It.},左手
ma non troppo {It.},但不過分
machete {Por.},馬歇特琴
machicotage {Fr.},素歌裝飾
machine ? vent {Fr.},風機
machine timpani,鍋形鼓；定音鼓
Macumba,馬昆巴歌舞儀式
Madrid Codex,馬德里抄本
madrigal,牧歌
madrigal comedy,牧歌喜劇
madrigale {It.},牧歌
madrigalism,牧歌手法；牧歌風格
madrigalisme {Fr.},牧歌手法；牧歌風格
madrigalismo {It.},牧歌手法；牧歌風格
Madrigalismus {Ger.},牧歌手法；牧歌風格
Maelzel metronome （M.M.）,梅采爾節拍器
maestoso {It.},莊嚴的；雄偉的
maestro concertatore {It.},聲樂指導｛歌劇｝
maestro {It.},大師
magadis {Gr.},馬加第斯琴
maggiolata {It.},五月歌
maggiolata {It.},五月歌｛義｝
maggiore {It.},大調
maghreb {Ar.},馬格雷布音樂
magister cappellae {Lat.},樂長
Magnetophon {Ger.},磁帶錄音機
magn?tophone {Fr.},磁帶錄音機
Magnettonger?t {Ger.},磁帶錄音機
magnificat {Lat.},聖母讚主曲
magnum opus musicum {Lat.},大樂曲集
Magnus liber organi {Lat.},奧干農大曲集
magrepha {Heb.},馬格雷伐風琴
magyar music {Hu.},馬札爾音樂
mailloche {Fr.},鼓槌
main droit {Fr.} {= m.d.},右手｛法｝
main droite {Fr.},右手
main gauche {Fr.},左手
main guidonienne {Fr.},桂多手
ma?tre {Fr.},大師
ma?trise {Fr.},聖歌學校；聖歌隊
majeur {Fr.},大調
major,大調
major common chord,普通大三和弦（絃）
major interval,大音程
major key,大調
major mode,大調式
major ninth,大九度
major ninth chord,大九和弦
major scale,大音階
major second,大二度
major semitone,大半音
major seventh,大七度
major seventh chord,大七和弦
major sixth,大六度
major third,大三度
major tone,大全音
major triad,大三和弦（絃）
makam {Tur.},木卡姆
malague?a {Sp.},馬拉加舞曲
male chorus {Eng.},男聲合唱；男聲合唱團
malinconico {It.},傷感的；憂鬱的
mallet,鼓槌
mambo,曼波舞曲
mancando {It.},漸消失的
Mancante,漸消失的
manche {Fr.},琴頸
mandola {It.},曼多拉琴
mandola {Sp.},曼多拉琴
mandolin,曼陀林琴
mandoline {Fr.},曼陀林琴
Mandoline {Ger.},曼陀林琴
mandolino {It.},曼陀林琴
mandora {It.},曼多拉琴
mandore {Fr.},曼多拉琴
man?canterie {Fr.},聖歌隊訓練所
Maneria {Lat.},馬內利亞
Manessische Liederhandschrift,馬內塞抄本
mangulina {Sp.},曼古利那舞曲
manico {It.},琴頸
manicorde {Fr.},一弦琴
manicorde{Fr.},古鋼琴
manicordion {Fr.},一弦琴
manicordo {It.},古鋼琴
manierismo {It.},矯飾主義；風格主義
Manierismus {Ger.},矯飾主義；風格主義
Manifold fugue,多主題復格
M?nnerchor {Ger.},男聲合唱；男聲合唱團
Mannerism,矯飾主義；風格主義
M?nnerstimmen {Ger.},男聲
Mannheim School,曼海姆樂派
Mannheimer Schule {Ger.},曼海姆樂派
mano destra {It.},右手
mano iezquierda {Sp.},左手
mano sinistra {It.},左手
Manoscritto {It.},手稿
mantice {It.},送風裝置｛管風琴｝
manual,手鍵盤
manual organ,手鍵盤風琴
